"Supplementary Table 2: Drug-drug interactions detected in the screen. Drug interactions, their conservation across strains and across species, and whether they were probed for all or only part of the species. Interaction sign is “synergy” or “antagonism” in case of strong interactions, “NA” otherwise. Corresponding p-values and interactions scores are provided.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Drug combination,,Conservation across species,Class-Class,Conservation across strains,,,Interacion sign,,,,,,Interacion score,,,,,,p-value,,,,,,Species conflict,Species probed
,Procaine,Tobramycin,EC,aminoglycoside_human drug,not_comparable,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.183708323,0.043001387,NA,NA,NA,NA,0.045236399,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,Procaine,Imipenem,EC,beta-lactam_human drug,not_conserved,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.214471764,0.042234499,NA,NA,NA,NA,0.001666307,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,Vanillin,Bleomycin,EC,multiple_food additive,not_comparable,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.139216596,0.039851418,NA,NA,NA,NA,0.029415426,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,Vanillin,CHIR-90,EC,LPS_food additive,conserved,NA,NA,Antagonism,Antagonism,NA,NA,NA,NA,0.376691892,0.324311918,NA,NA,NA,NA,0.002956627,0.010822467,NA,NA,NA,NA,no_conflict,ECSTPA
,Levofloxacin,Colistin,EC,quinolones_LPS,weak_conserved,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.228830055,0.103560504,NA,NA,NA,NA,0.028629671,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,Mecillinam,Clarithromycin,EC,beta-lactam_macrolide,weak_conserved,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.146150086,0.109060056,NA,NA,NA,NA,0.001666307,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,Mecillinam,Puromycin,EC,beta-lactam_other protein synthesis inhibitor,conserved,NA,NA,Antagonism,Antagonism,NA,NA,NA,NA,0.166689783,0.2506743,NA,NA,NA,NA,0.001666307,0.001463305,NA,NA,NA,NA,no_conflict,ECSTPA
,Mecillinam,Azithromycin,EC,beta-lactam_macrolide,conserved,NA,NA,Antagonism,Antagonism,NA,NA,NA,NA,0.375643246,0.321433973,NA,NA,NA,NA,0.008407909,0.011726285,NA,NA,NA,NA,no_conflict,ECSTPA
,Mecillinam,Curcumin,EC,beta-lactam_food additive,weak_conserved,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.303813222,0.259860145,NA,NA,NA,NA,0.045236399,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,A22,Puromycin,EC,other cell wall_other protein synthesis inhibitor,weak_conserved,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.100338263,0.107671009,NA,NA,NA,NA,0.029415426,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,A22,Metformin,EC,other cell wall_human drug,not_conserved,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.446933915,0.045644805,NA,NA,NA,NA,0.019773113,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,A22,Curcumin,EC,other cell wall_food additive,weak_conserved,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.452555562,0.20491799,NA,NA,NA,NA,0.047612356,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,A22,Acetylsalisylic acid,EC,other cell wall_human drug,conserved,NA,NA,Antagonism,Antagonism,NA,NA,NA,NA,0.404815483,0.324571584,NA,NA,NA,NA,0.001666307,0.001463305,NA,NA,NA,NA,no_conflict,ECSTPA
,Loperamide,Bleomycin,EC,multiple_human drug,not_conserved,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.10209491,0.050543598,NA,NA,NA,NA,0.006321736,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,Tobramycin,Metformin,EC,aminoglycoside_human drug,not_conserved,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.406313547,0.028514272,NA,NA,NA,NA,0.001666307,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,EGCG,Aztreonam,EC,beta-lactam_fatty acid biosynthesis,conserved,NA,NA,Antagonism,Antagonism,NA,NA,NA,NA,0.199263609,0.105041889,NA,NA,NA,NA,0.01041944,0.040128658,NA,NA,NA,NA,no_conflict,ECSTPA
,Rifampicin,Bleomycin,EC,RNA polymerase_multiple,conserved,NA,NA,Antagonism,Antagonism,NA,NA,NA,NA,0.248481118,0.248546663,NA,NA,NA,NA,0.001666307,0.001463305,NA,NA,NA,NA,no_conflict,ECSTPA
,Rifampicin,Metformin,EC,RNA polymerase_human drug,conserved,NA,NA,Antagonism,Antagonism,NA,NA,NA,NA,0.194696747,0.20157339,NA,NA,NA,NA,0.002956627,0.002551072,NA,NA,NA,NA,no_conflict,ECSTPA
,Rifampicin,Gentamicin,EC,RNA polymerase_aminoglycoside,weak_conserved,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.30332613,0.160693464,NA,NA,NA,NA,0.001666307,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,Aztreonam,Bleomycin,EC,beta-lactam_multiple,weak_conserved,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.208622399,0.137130003,NA,NA,NA,NA,0.014413559,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,Aztreonam,Azithromycin,EC,beta-lactam_macrolide,conserved,NA,NA,Antagonism,Antagonism,NA,NA,NA,NA,0.184964465,0.234163304,NA,NA,NA,NA,0.007360115,0.001463305,NA,NA,NA,NA,no_conflict,ECSTPA
,Aztreonam,Curcumin,EC,beta-lactam_food additive,conserved,NA,NA,Antagonism,Antagonism,NA,NA,NA,NA,0.525035458,0.563258021,NA,NA,NA,NA,0.001666307,0.001463305,NA,NA,NA,NA,no_conflict,ECSTPA
,Aztreonam,Berberine,EC,beta-lactam_food additive,conserved,NA,NA,Antagonism,Antagonism,NA,NA,NA,NA,0.210409655,0.431862848,NA,NA,NA,NA,0.004098642,0.001463305,NA,NA,NA,NA,no_conflict,ECSTPA
,Clarithromycin,Cerulenin,EC,fatty acid biosynthesis_macrolide,weak_conserved,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.133888112,0.080805,NA,NA,NA,NA,0.001666307,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,Clarithromycin,Metformin,EC,macrolide_human drug,conserved,NA,NA,Antagonism,Antagonism,NA,NA,NA,NA,0.188011691,0.130507188,NA,NA,NA,NA,0.002956627,0.019096828,NA,NA,NA,NA,no_conflict,ECSTPA
,Bleomycin,Metformin,EC,multiple_human drug,weak_conserved,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.224553458,0.106914138,NA,NA,NA,NA,0.001666307,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,Bleomycin,Acetylsalisylic acid,EC,multiple_human drug,conserved,NA,NA,Antagonism,Antagonism,NA,NA,NA,NA,0.230563081,0.221086082,NA,NA,NA,NA,0.002956627,0.001463305,NA,NA,NA,NA,no_conflict,ECSTPA
,Cycloserine D,Procaine,EC,other cell wall_human drug,not_conserved,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.157226375,0.042043068,NA,NA,NA,NA,0.001567376,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,Amoxicillin,Spectinomycin,EC,beta-lactam_aminoglycoside,weak_conserved,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.171696822,0.076680145,NA,NA,NA,NA,0.013792906,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,Ciprofloxacin,Caffeine,EC,quinolones_food additive,conserved,NA,NA,Antagonism,Antagonism,NA,NA,NA,NA,0.369070437,0.360737715,NA,NA,NA,NA,0.011346729,0.004305125,NA,NA,NA,NA,no_conflict,ECSTPA
,Cycloserine D,Erythromycin,EC,other cell wall_macrolide,weak_conserved,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.164045947,0.06061542,NA,NA,NA,NA,0.028637814,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,Cycloserine D,Chlorhexidine,EC,other cell wall_LPS,conserved,NA,NA,Antagonism,Antagonism,NA,NA,NA,NA,0.636045289,0.100948791,NA,NA,NA,NA,0.011346729,0.041465152,NA,NA,NA,NA,no_conflict,ECSTPA
,Oxacillin,Polymyxin B,EC,beta-lactam_LPS,not_conserved,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.642289018,0.046590749,NA,NA,NA,NA,0.010494603,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,Polymyxin B,Cefaclor,EC,beta-lactam_LPS,weak_conserved,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.308764329,0.065070653,NA,NA,NA,NA,0.00387234,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,Amikacin,Clindamycin,EC,other protein synthesis inhibitor_aminoglycoside,not_comparable,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.353934271,-0.055997352,NA,NA,NA,NA,0.001567376,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,Amikacin,Spiramycin,EC,aminoglycoside_macrolide,not_comparable,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.189236848,-0.047533459,NA,NA,NA,NA,0.036049642,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,Cefotaxime,Reserpine,EC,beta-lactam_human drug,not_comparable,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.184757422,0.049639406,NA,NA,NA,NA,0.023442979,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,Clindamycin,Tobramycin,EC,other protein synthesis inhibitor_aminoglycoside,not_comparable,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.735726819,0.050289928,NA,NA,NA,NA,0.002742908,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,Paraquat,Bleomycin,EC,multiple_oxidative stress,weak_conserved,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.171097454,0.121087454,NA,NA,NA,NA,0.019667663,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,Tobramycin,Chlorhexidine,EC,LPS_aminoglycoside,not_comparable,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.187130252,0.056030628,NA,NA,NA,NA,0.017241133,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,Tobramycin,Tigecycline,EC,tetracycline_aminoglycoside,not_comparable,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.224479699,0.041968797,NA,NA,NA,NA,0.016520021,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,Puromycin,Imipenem,EC,beta-lactam_other protein synthesis inhibitor,weak_conserved,NA,NA,Antagonism,NA,NA,NA,NA,NA,0.128156409,0.082140569,NA,NA,NA,NA,0.027466908,NA,NA,NA,NA,NA,no_conflict,ECSTPA
,Amoxicillin,Penicillin G,EC,beta-lactam_beta-lactam,weak_conserved,NA,NA,NA,Synergy,NA,NA,NA,NA,-0.095728565,-0.218339027,NA,NA,NA,NA,NA,0.03445807,NA,NA,NA,NA,no_conflict,ECSTPA
,Chloramphenicol,Streptozotocin,EC,other protein synthesis inhibitor_human drug,weak_conserved,NA,NA,NA,Synergy,NA,NA,NA,NA,-0.127268857,-0.192910718,NA,NA,NA,NA,NA,0.005418631,NA,NA,NA,NA,no_conflict,ECSTPA
,Doxycycline,Fusidic acid,EC,other protein synthesis inhibitor_tetracycline,weak_conserved,NA,NA,NA,Synergy,NA,NA,NA,NA,-0.350103612,-0.289446771,NA,NA,NA,NA,NA,0.012575588,NA,NA,NA,NA,no_conflict,ECSTPA
,Doxycycline,Erythromycin,EC,tetracycline_macrolide,not_comparable,NA,NA,NA,Synergy,NA,NA,NA,NA,-0.059127325,-0.207113429,NA,NA,NA,NA,NA,0.002551072,NA,NA,NA,NA,no_conflict,ECSTPA
,Fosfomycin,Loperamide,EC,other cell wall_human drug,weak_conserved,NA,NA,NA,Synergy,NA,NA,NA,NA,-0.064804403,-0.130856395,NA,NA,NA,NA,NA,0.003544318,NA,NA,NA,NA,no_conflict,ECSTPA
,Oxacillin,Cefotaxime,EC,beta-lactam_beta-lactam,weak_conserved,NA,NA,NA,Synergy,NA,NA,NA,NA,-0.113662139,-0.311389518,NA,NA,NA,NA,NA,0.001463305,NA,NA,NA,NA,no_conflict,ECSTPA
,Oxacillin,Piperacillin,EC,beta-lactam_beta-lactam,weak_conserved,NA,NA,NA,Synergy,NA,NA,NA,NA,-0.073572198,-0.194892816,NA,NA,NA,NA,NA,0.001463305,NA,NA,NA,NA,no_conflict,ECSTPA
,Oxacillin,Aztreonam,EC,beta-lactam_beta-lactam,weak_conserved,NA,NA,NA,Synergy,NA,NA,NA,NA,-0.101023611,-0.159714079,NA,NA,NA,NA,NA,0.001463305,NA,NA,NA,NA,no_conflict,ECSTPA
,Oxacillin,CHIR-90,EC,beta-lactam_LPS,not_comparable,NA,NA,NA,Synergy,NA,NA,NA,NA,-0.013389895,-0.281950638,NA,NA,NA,NA,NA,0.001463305,NA,NA,NA,NA,no_conflict,ECSTPA
,Bacitracin,Cefotaxime,EC,beta-lactam_other cell wall,weak_conserved,NA,NA,NA,Synergy,NA,NA,NA,NA,-0.060375749,-0.120566832,NA,NA,NA,NA,NA,0.002551072,NA,NA,NA,NA,no_conflict,ECSTPA
,Bacitracin,Caffeine,EC,other cell wall_food additive,weak_conserved,NA,NA,NA,Synergy,NA,NA,NA,NA,-0.06659339,-0.105758695,NA,NA,NA,NA,NA,0.041530593,NA,NA,NA,NA,no_conflict,ECSTPA
,Polymyxin B,Trimethoprim,EC,folic acid biosynthesis_LPS,not_conserved,NA,NA,NA,Synergy,NA,NA,NA,NA,0.056777194,-0.116026946,NA,NA,NA,NA,NA,0.04778408,NA,NA,NA,NA,no_conflict,ECSTPA
,Polymyxin B,Nitrofurantoin,EC,multiple_LPS,not_conserved,NA,NA,NA,Synergy,NA,NA,NA,NA,0.025603931,-0.139924485,NA,NA,NA,NA,NA,0.002551072,NA,NA,NA,NA,no_conflict,ECSTPA
,Fusidic acid,Cefotaxime,EC,beta-lactam_other protein synthesis inhibitor,not_conserved,NA,NA,NA,Synergy,NA,NA,NA,NA,0.052964039,-0.162183554,NA,NA,NA,NA,NA,0.002551072,NA,NA,NA,NA,no_conflict,ECSTPA
,Fusidic acid,Verapamil,EC,other protein synthesis inhibitor_human drug,weak_conserved,NA,NA,NA,Synergy,NA,NA,NA,NA,-0.103290536,-0.219391527,NA,NA,NA,NA,NA,0.002551072,NA,NA,NA,NA,no_conflict,ECSTPA
,Fusidic acid,Piperacillin,EC,beta-lactam_other protein synthesis inhibitor,weak_conserved,NA,NA,NA,Synergy,NA,NA,NA,NA,-0.105893627,-0.211999367,NA,NA,NA,NA,NA,0.002551072,NA,NA,NA,NA,no_conflict,ECSTPA
,Fusidic acid,Nitrofurantoin,EC,multiple_other protein synthesis inhibitor,not_conserved,NA,NA,NA,Synergy,NA,NA,NA,NA,0.108532057,-0.162405416,NA,NA,NA,NA,NA,0.003544318,NA,NA,NA,NA,no_conflict,ECSTPA
,Fusidic acid,Clarithromycin,EC,other protein synthesis inhibitor_macrolide,weak_conserved,NA,NA,NA,Synergy,NA,NA,NA,NA,-0.46682204,-0.34172443,NA,NA,NA,NA,NA,0.001463305,NA,NA,NA,NA,no_conflict,ECSTPA
,Amikacin,Trimethoprim,EC,folic acid biosynthesis_aminoglycoside,not_conserved,NA,NA,NA,Synergy,NA,NA,NA,NA,0.091316795,-0.126658896,NA,NA,NA,NA,NA,0.001463305,NA,NA,NA,NA,no_conflict,ECSTPA
,Cefotaxime,Aztreonam,EC,beta-lactam_beta-lactam,weak_conserved,NA,NA,NA,Synergy,NA,NA,NA,NA,-0.155475145,-0.336561517,NA,NA,NA,NA,NA,0.001463305,NA,NA,NA,NA,no_conflict,ECSTPA
,Cefotaxime,Penicillin G,EC,beta-lactam_beta-lactam,weak_conserved,NA,NA,NA,Synergy,NA,NA,NA,NA,-0.067795694,-0.164980844,NA,NA,NA,NA,NA,0.001463305,NA,NA,NA,NA,no_conflict,ECSTPA
,Cefaclor,Trimethoprim,EC,beta-lactam_folic acid biosynthesis,weak_conserved,NA,NA,NA,Synergy,NA,NA,NA,NA,-0.06542865,-0.137457937,NA,NA,NA,NA,NA,0.001463305,NA,NA,NA,NA,no_conflict,ECSTPA
,Cefaclor,Paraquat,EC,beta-lactam_oxidative stress,not_conserved,NA,NA,NA,Synergy,NA,NA,NA,NA,0.050971161,-0.16307936,NA,NA,NA,NA,NA,0.001463305,NA,NA,NA,NA,no_conflict,ECSTPA
,Cefsulodin,Penicillin G,EC,beta-lactam_beta-lactam,not_conserved,NA,NA,NA,Synergy,NA,NA,NA,NA,-0.055524844,-0.318868646,NA,NA,NA,NA,NA,0.001463305,NA,NA,NA,NA,no_conflict,ECSTPA
,Erythromycin,Rifampicin,EC,RNA polymerase_macrolide,not_conserved,NA,NA,NA,Synergy,NA,NA,NA,NA,0.045285939,-0.117595701,NA,NA,NA,NA,NA,0.043919431,NA,NA,NA,NA,no_conflict,ECSTPA
,Trimethoprim,Clofazimine,EC,other DNA_folic acid biosynthesis,not_comparable,NA,NA,NA,Synergy,NA,NA,NA,NA,-0.048845687,-0.117369844,NA,NA,NA,NA,NA,0.007206779,NA,NA,NA,NA,no_conflict,ECSTPA
,Trimethoprim,Tigecycline,EC,folic acid biosynthesis_tetracycline,weak_conserved,NA,NA,NA,Synergy,NA,NA,NA,NA,-0.096456648,-0.102448413,NA,NA,NA,NA,NA,0.012575588,NA,NA,NA,NA,no_conflict,ECSTPA
,Sulfamonomethoxine,Clarithromycin,EC,folic acid biosynthesis_macrolide,weak_conserved,NA,NA,NA,Synergy,NA,NA,NA,NA,-0.08885087,-0.185269902,NA,NA,NA,NA,NA,0.001463305,NA,NA,NA,NA,no_conflict,ECSTPA
,Sulfamonomethoxine,Bleomycin,EC,folic acid biosynthesis_multiple,weak_conserved,NA,NA,NA,Synergy,NA,NA,NA,NA,-0.095805559,-0.254628484,NA,NA,NA,NA,NA,0.001463305,NA,NA,NA,NA,no_conflict,ECSTPA
,Paraquat,Nitrofurantoin,EC,multiple_oxidative stress,weak_conserved,NA,NA,NA,Synergy,NA,NA,NA,NA,-0.087218948,-0.152214126,NA,NA,NA,NA,NA,0.01331946,NA,NA,NA,NA,no_conflict,ECSTPA
,Procaine,Berberine,EC,food additive_human drug,not_conserved,NA,NA,NA,Synergy,NA,NA,NA,NA,0.076292917,-0.243760501,NA,NA,NA,NA,NA,0.002551072,NA,NA,NA,NA,no_conflict,ECSTPA
,Verapamil,Clarithromycin,EC,macrolide_human drug,not_comparable,NA,NA,NA,Synergy,NA,NA,NA,NA,-0.053081996,-0.15058359,NA,NA,NA,NA,NA,0.014177271,NA,NA,NA,NA,no_conflict,ECSTPA
,Piperacillin,Penicillin G,EC,beta-lactam_beta-lactam,not_conserved,NA,NA,NA,Synergy,NA,NA,NA,NA,-0.044091277,-0.137293835,NA,NA,NA,NA,NA,0.033066399,NA,NA,NA,NA,no_conflict,ECSTPA
,Nitrofurantoin,Clarithromycin,EC,multiple_macrolide,weak_conserved,NA,NA,NA,Synergy,NA,NA,NA,NA,-0.071383838,-0.501516632,NA,NA,NA,NA,NA,0.001463305,NA,NA,NA,NA,no_conflict,ECSTPA
,Minocycline,Curcumin,EC,tetracycline_food additive,weak_conserved,NA,NA,NA,Synergy,NA,NA,NA,NA,-0.219140926,-0.313347955,NA,NA,NA,NA,NA,0.012575588,NA,NA,NA,NA,no_conflict,ECSTPA
,Chlorhexidine,Reserpine,EC,LPS_human drug,weak_conserved,NA,NA,NA,Synergy,NA,NA,NA,NA,-0.083672466,-0.116505583,NA,NA,NA,NA,NA,0.02934497,NA,NA,NA,NA,no_conflict,ECSTPA
,Metronidazole,Aztreonam,EC,beta-lactam_other DNA,weak_conserved,NA,NA,NA,Synergy,NA,NA,NA,NA,-0.072555919,-0.13130949,NA,NA,NA,NA,NA,0.027080019,NA,NA,NA,NA,no_conflict,ECSTPA
,Penicillin G,CHIR-90,EC,beta-lactam_LPS,not_comparable,NA,NA,NA,Synergy,NA,NA,NA,NA,-0.018981002,-0.247932592,NA,NA,NA,NA,NA,0.003544318,NA,NA,NA,NA,no_conflict,ECSTPA
,Tigecycline,Mitomycin C,EC,other DNA_tetracycline,weak_conserved,NA,NA,NA,Synergy,NA,NA,NA,NA,-0.077564069,-0.126645306,NA,NA,NA,NA,NA,0.005418631,NA,NA,NA,NA,no_conflict,ECSTPA
,Amoxicillin,Chloramphenicol,EC,beta-lactam_other protein synthesis inhibitor,not_comparable,NA,NA,NA,Synergy,NA,NA,NA,NA,0.07717289,-0.23476322,NA,NA,NA,NA,NA,0.024022598,NA,NA,NA,NA,no_conflict,ECSTPA
,Doxycycline,Piperacillin,EC,beta-lactam_tetracycline,weak_conserved,NA,NA,NA,Synergy,NA,NA,NA,NA,-0.069445259,-0.265000442,NA,NA,NA,NA,NA,0.001813026,NA,NA,NA,NA,no_conflict,ECSTPA
,Doxycycline,CCCP,EC,PMF_tetracycline,not_conserved,NA,NA,NA,Synergy,NA,NA,NA,NA,0.063046167,-0.130703819,NA,NA,NA,NA,NA,0.004600072,NA,NA,NA,NA,no_conflict,ECSTPA
,Levofloxacin,Bleomycin,EC,quinolones_multiple,not_conserved,NA,NA,NA,Synergy,NA,NA,NA,NA,-0.0566542,-0.376475288,NA,NA,NA,NA,NA,0.042891559,NA,NA,NA,NA,no_conflict,ECSTPA
,Amoxicillin,Rifampicin,EC,beta-lactam_RNA polymerase,weak_conserved,NA,NA,NA,Antagonism,NA,NA,NA,NA,0.102283465,0.201708819,NA,NA,NA,NA,NA,0.007206779,NA,NA,NA,NA,no_conflict,ECSTPA
,Amoxicillin,Curcumin,EC,beta-lactam_food additive,weak_conserved,NA,NA,NA,Antagonism,NA,NA,NA,NA,0.149272874,0.361110821,NA,NA,NA,NA,NA,0.009135354,NA,NA,NA,NA,no_conflict,ECSTPA
,Amoxicillin,Berberine,EC,beta-lactam_food additive,weak_conserved,NA,NA,NA,Antagonism,NA,NA,NA,NA,0.12227291,0.367673079,NA,NA,NA,NA,NA,0.004486711,NA,NA,NA,NA,no_conflict,ECSTPA
,Chloramphenicol,Fosfomycin,EC,other cell wall_other protein synthesis inhibitor,weak_conserved,NA,NA,NA,Antagonism,NA,NA,NA,NA,0.0965634,0.244966999,NA,NA,NA,NA,NA,0.001463305,NA,NA,NA,NA,no_conflict,ECSTPA
,Chloramphenicol,Vanillin,EC,other protein synthesis inhibitor_food additive,weak_conserved,NA,NA,NA,Antagonism,NA,NA,NA,NA,0.096272761,0.299039392,NA,NA,NA,NA,NA,0.001463305,NA,NA,NA,NA,no_conflict,ECSTPA
,Chloramphenicol,Meropenem,EC,beta-lactam_other protein synthesis inhibitor,weak_conserved,NA,NA,NA,Antagonism,NA,NA,NA,NA,0.139886588,0.215745151,NA,NA,NA,NA,NA,0.001463305,NA,NA,NA,NA,no_conflict,ECSTPA
,Chloramphenicol,Colistin,EC,LPS_other protein synthesis inhibitor,weak_conserved,NA,NA,NA,Antagonism,NA,NA,NA,NA,0.103338438,0.286725604,NA,NA,NA,NA,NA,0.004486711,NA,NA,NA,NA,no_conflict,ECSTPA
,Chloramphenicol,Curcumin,EC,other protein synthesis inhibitor_food additive,weak_conserved,NA,NA,NA,Antagonism,NA,NA,NA,NA,0.133010221,0.153938096,NA,NA,NA,NA,NA,0.005418631,NA,NA,NA,NA,no_conflict,ECSTPA
,Chloramphenicol,Berberine,EC,other protein synthesis inhibitor_food additive,weak_conserved,NA,NA,NA,Antagonism,NA,NA,NA,NA,0.101489365,0.322534738,NA,NA,NA,NA,NA,0.001463305,NA,NA,NA,NA,no_conflict,ECSTPA
,Chloramphenicol,Phleomycin,EC,multiple_other protein synthesis inhibitor,weak_conserved,NA,NA,NA,Antagonism,NA,NA,NA,NA,0.123153295,0.16543762,NA,NA,NA,NA,NA,0.004486711,NA,NA,NA,NA,no_conflict,ECSTPA
,Ciprofloxacin,Trimethoprim,EC,quinolones_folic acid biosynthesis,not_conserved,NA,NA,NA,Antagonism,NA,NA,NA,NA,-0.094316586,0.132330419,NA,NA,NA,NA,NA,0.005418631,NA,NA,NA,NA,no_conflict,ECSTPA
,Ciprofloxacin,Curcumin,EC,quinolones_food additive,weak_conserved,NA,NA,NA,Antagonism,NA,NA,NA,NA,0.180052294,0.180690338,NA,NA,NA,NA,NA,0.005418631,NA,NA,NA,NA,no_conflict,ECSTPA
,Ciprofloxacin,CHIR-90,EC,quinolones_LPS,weak_conserved,NA,NA,NA,Antagonism,NA,NA,NA,NA,0.129809411,0.211224296,NA,NA,NA,NA,NA,0.047128802,NA,NA,NA,NA,no_conflict,ECSTPA
,Doxycycline,Meropenem,EC,beta-lactam_tetracycline,weak_conserved,NA,NA,NA,Antagonism,NA,NA,NA,NA,0.123649186,0.25619728,NA,NA,NA,NA,NA,0.01331946,NA,NA,NA,NA,no_conflict,ECSTPA
,Doxycycline,Acetylsalisylic acid,EC,tetracycline_human drug,weak_conserved,NA,NA,NA,Antagonism,NA,NA,NA,NA,0.082980042,0.174633129,NA,NA,NA,NA,NA,0.001463305,NA,NA,NA,NA,no_conflict,ECSTPA
,Spectinomycin,Cefotaxime,EC,beta-lactam_aminoglycoside,weak_conserved,NA,NA,NA,Antagonism,NA,NA,NA,NA,0.098892819,0.124655971,NA,NA,NA,NA,NA,0.001463305,NA,NA,NA,NA,no_conflict,ECSTPA
,Fosfomycin,Spiramycin,EC,other cell wall_macrolide,weak_conserved,NA,NA,NA,Antagonism,NA,NA,NA,NA,0.110928844,0.140650594,NA,NA,NA,NA,NA,0.042796561,NA,NA,NA,NA,no_conflict,ECSTPA
,Fosfomycin,Azithromycin,EC,other cell wall_macrolide,weak_conserved,NA,NA,NA,Antagonism,NA,NA,NA,NA,0.23250106,0.244733063,NA,NA,NA,NA,NA,0.001463305,NA,NA,NA,NA,no_conflict,ECSTPA
,Fosfomycin,Berberine,EC,other cell wall_food additive,weak_conserved,NA,NA,NA,Antagonism,NA,NA,NA,NA,0.094711259,0.24144145,NA,NA,NA,NA,NA,0.002551072,NA,NA,NA,NA,no_conflict,ECSTPA
,Fosfomycin,Moxifloxacin,EC,other cell wall_quinolones,weak_conserved,NA,NA,NA,Antagonism,NA,NA,NA,NA,0.117704748,0.144766913,NA,NA,NA,NA,NA,0.030028247,NA,NA,NA,NA,no_conflict,ECSTPA
,Novobiocin,Trimethoprim,EC,other DNA_folic acid biosynthesis,weak_conserved,NA,NA,NA,Antagonism,NA,NA,NA,NA,0.087234887,0.140252539,NA,NA,NA,NA,NA,0.001463305,NA,NA,NA,NA,no_conflict,ECSTPA
,Novobiocin,Loperamide,EC,other DNA_human drug,not_comparable,NA,NA,NA,Antagonism,NA,NA,NA,NA,0.050344185,0.128206779,NA,NA,NA,NA,NA,0.010009416,NA,NA,NA,NA,no_conflict,ECSTPA
,Novobiocin,EGCG,EC,other DNA_fatty acid biosynthesis,not_comparable,NA,NA,NA,Antagonism,NA,NA,NA,NA,-0.051280447,0.231059275,NA,NA,NA,NA,NA,0.002551072,NA,NA,NA,NA,no_conflict,ECSTPA
,Novobiocin,Caffeine,EC,other DNA_food additive,not_comparable,NA,NA,NA,Antagonism,NA,NA,NA,NA,-0.037183595,0.255767923,NA,NA,NA,NA,NA,0.001463305,NA,NA,NA,NA,no_conflict,ECSTPA
,Novobiocin,Puromycin,EC,other DNA_other protein synthesis inhibitor,not_comparable,NA,NA,NA,Antagonism,NA,NA,NA,NA,-0.094292619,0.148896993,NA,NA,NA,NA,NA,0.022850764,NA,NA,NA,NA,no_conflict,ECSTPA
,Novobiocin,Azithromycin,EC,other DNA_macrolide,weak_conserved,NA,NA,NA,Antagonism,NA,NA,NA,NA,0.090292799,0.218732047,NA,NA,NA,NA,NA,0.003544318,NA,NA,NA,NA,no_conflict,ECSTPA
